Sensor_0,Sensor_1,Sensor_2,Sensor_3
103995.75,104630.25,101572.25,113956.75
104011.75,104626,101575.75,113963.5
104018.5,104618.5,101576.75,113959.5
104004,104625.5,101581.75,113968.25
104007.75,104637.5,101574.75,113964
104010,104623.25,101572.5,113970
103933.25,104627.75,101585.75,113965.5
103601,104591.75,101587.5,113961.75
103111.25,104519,101564.25,113962
102642.25,104451.25,101572.5,113960
102168.75,104370.25,101567.5,113975
101826.75,104340,101564.25,113960
101546.5,104311.75,101563.75,113955.5
101313.25,104300.75,101562.25,113976.25
101086.25,104293.5,101566.5,113959.75
100869.75,104293.75,101572.75,113955.5
100660.5,104290.5,101582.75,113952.5
100520,104292.75,101588.75,113960.5
100399.75,104290.5,101588.25,113964.25
100333.25,104274.75,101590,113966.75
100265.75,104275,101591.5,113953.25
100238.75,104265.5,101573,113955.25
100396.5,104271.5,101582.25,113958.75
100518.75,104274,101580.75,113955.5
100548.75,104272.5,101580.5,113962.5
100564.25,104261,101578,113956.75
100574.5,104276.5,101587.25,113954
100599.25,104277.25,101583.75,113959.75
100609.5,104272,101578,113959.75
100622,104270.25,101579.75,113962.75
100638.75,104281.25,101587.5,113965.75
100646.75,104273.75,101581,113952.5
100656.75,104273.25,101580.5,113954
100665,104281.5,101577,113959.25
100676.75,104280.25,101575.75,113957.75
100683.25,104269,101587.75,113954.5
100692,104276.25,101573.5,113959.75
100702.25,104270.5,101573.75,113964.25
100700.5,104283.75,101590.75,113965.5
100717.25,104268.5,101576.75,113962.25
100721.25,104269.5,101582,113962.5
100726.25,104265.75,101582.25,113961.25
100734,104272,101579.75,113969.25
100733.5,104273.75,101587,113956.75
100744.75,104270.5,101587.25,113951
100756.75,104279.75,101577.75,113966.5
100760.75,104273.5,101582.5,113951.25
100768,104274,101583.25,113959.25
100781,104275.25,101587.75,113961.75
100776.5,104272.25,101584.25,113972.25
100780,104269,101588.75,113959.75
100785,104273.5,101574.25,113955.5
100788,104272.75,101579.5,113957.5
100798,104277.75,101586.25,113958.25
100810.5,104272.25,101578.25,113962.5
100813.5,104281.5,101586.75,113965
100808.25,104266,101589.25,113954.5
100813.5,104279.25,101584,113960.25
100818,104282.5,101590,113956.25
100823,104269.25,101588,113956.75
